model,batch_size,pred_fixed,pred_F1
ollama_deepseek-r1:70b,139.60000000000002,-9.236665542652359,9.739234539861403e-05
ollama_deepseek-r1:70b,151.15,-10.225376138553257,3.6237633603308124e-05
ollama_deepseek-r1:70b,162.70000000000002,-11.214086734454154,1.3482739888842475e-05
ollama_deepseek-r1:70b,174.25,-12.202797330355052,5.016378260226727e-06
ollama_deepseek-r1:70b,185.8,-13.191507926255957,1.8663800736760588e-06
ollama_deepseek-r1:70b,197.35000000000002,-14.180218522156855,6.943989285723513e-07
ollama_deepseek-r1:70b,208.9,-15.168929118057749,2.5835547857650746e-07
ollama_deepseek-r1:70b,220.45000000000002,-16.157639713958655,9.612275060896145e-08
ollama_deepseek-r1:70b,232.0,-17.146350309859553,3.5763059077657466e-08
ollama_gemma3n:latest,1.0,-1.0029767342732656,0.26835656258751384
